media_key,product_key,variant_key,source_url,cloudinary_public_id,cloudinary_secure_url,suggested_cloudinary_folder,suggested_final_filename,alt_text,title,caption,width,height,format,role,sort_order,is_primary,notes
"tiger-table-net-replacement-set-primary-01","tiger-table-net-replacement-set","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/136/images/636/tpp-net-set-1__19685.1671046561.386.513.jpg?c=1","tiger-pingpong/products/replacement-parts/replacement-nets/tiger-table-net-replacement-set-primary-01","","tiger-pingpong/products/replacement-parts/replacement-nets","tiger-table-net-replacement-set-primary-01.jpg","Tiger PingPong Table Net Replacement Set","Tiger PingPong Table Net Replacement Set","","","","jpg","primary","1","true","Primary source candidate from scrape manifest only. Upload to Cloudinary in a later explicit media task."
"tiger-table-cover-black-polyester-primary-01","tiger-table-cover-black-polyester","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/140/images/781/Tiger_PingPong_Table_Cover__75959.1686847837.386.513.jpg?c=1","tigerpingpong/products/tiger-table-cover-black-polyester/01-main","https://res.cloudinary.com/djfcisldm/image/upload/v1781303672/tigerpingpong/products/tiger-table-cover-black-polyester/01-main.jpg","tigerpingpong/products/tiger-table-cover-black-polyester","01-main.jpg","Tiger PingPong Protective Ping Pong Table Cover Black Polyester","Tiger PingPong Protective Ping Pong Table Cover Black Polyester","","386","386","jpg","primary","1","true","Cloudinary upload completed in PR 43. Source URL preserved for traceability."
"tiger-vice-paddle-primary-01","tiger-vice-paddle","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/122/images/642/Asset_39__72425__25086.1659982440.386.513.jpg?c=1","tigerpingpong/products/tiger-vice-paddle/01-main","https://res.cloudinary.com/djfcisldm/image/upload/v1781303652/tigerpingpong/products/tiger-vice-paddle/01-main.jpg","tigerpingpong/products/tiger-vice-paddle","01-main.jpg","Tiger PingPong Vice Ping Pong Paddle","Tiger PingPong Vice Ping Pong Paddle","","386","386","jpg","primary","1","true","Cloudinary upload completed in PR 43. Source URL preserved for traceability."
"tiger-aqua-outdoor-indoor-paddle-source-01","tiger-aqua-outdoor-indoor-paddle","","https://cdn11.bigcommerce.com/s-dh0jici9dm/images/stencil/1280x1280/products/141/782/Single_Ble_Overhead__45821.1759532868.jpg?c=1","","","tiger-pingpong/products/tiger-aqua-outdoor-indoor-paddle","01-main.jpg","Aqua Outdoor / Indoor Paddle","Aqua Outdoor / Indoor Paddle","","","","jpg","primary","1","true","Current legacy product gallery source image. Cloudinary upload deferred; source URL preserved for fallback and traceability. Media key intentionally avoids generated Cloudinary fallback until upload is complete."
"tiger-aqua-outdoor-indoor-paddle-source-02","tiger-aqua-outdoor-indoor-paddle","","https://cdn11.bigcommerce.com/s-dh0jici9dm/images/stencil/1280x1280/products/141/785/SIngle_red_-_overhead__33741.1759532868.jpg?c=1","","","tiger-pingpong/products/tiger-aqua-outdoor-indoor-paddle","02-single-coral-overhead.jpg","Aqua Outdoor / Indoor Paddle","Aqua Outdoor / Indoor Paddle","","","","jpg","gallery","2","false","Current legacy product gallery source image. Cloudinary upload deferred; source URL preserved for fallback and traceability. Media key intentionally avoids generated Cloudinary fallback until upload is complete."
"tiger-aqua-outdoor-indoor-paddle-source-03","tiger-aqua-outdoor-indoor-paddle","","https://cdn11.bigcommerce.com/s-dh0jici9dm/images/stencil/1280x1280/products/141/787/Paddle_Technology__03652.1759532868.jpg?c=1","","","tiger-pingpong/products/tiger-aqua-outdoor-indoor-paddle","03-paddle-technology.jpg","Aqua Outdoor / Indoor Paddle","Aqua Outdoor / Indoor Paddle","","","","jpg","gallery","3","false","Current legacy product gallery source image. Cloudinary upload deferred; source URL preserved for fallback and traceability. Media key intentionally avoids generated Cloudinary fallback until upload is complete."
"tiger-aqua-outdoor-indoor-paddle-source-04","tiger-aqua-outdoor-indoor-paddle","","https://cdn11.bigcommerce.com/s-dh0jici9dm/images/stencil/1280x1280/products/141/788/Ultra_Durable__06886.1759532868.jpg?c=1","","","tiger-pingpong/products/tiger-aqua-outdoor-indoor-paddle","04-ultra-durable.jpg","Aqua Outdoor / Indoor Paddle","Aqua Outdoor / Indoor Paddle","","","","jpg","gallery","4","false","Current legacy product gallery source image. Cloudinary upload deferred; source URL preserved for fallback and traceability. Media key intentionally avoids generated Cloudinary fallback until upload is complete."
"tiger-aqua-outdoor-indoor-paddle-source-05","tiger-aqua-outdoor-indoor-paddle","","https://cdn11.bigcommerce.com/s-dh0jici9dm/images/stencil/1280x1280/products/141/791/Weather_-_Text_Bottom__86208.1759532868.jpg?c=1","","","tiger-pingpong/products/tiger-aqua-outdoor-indoor-paddle","05-weather-resistant.jpg","Aqua Outdoor / Indoor Paddle","Aqua Outdoor / Indoor Paddle","","","","jpg","gallery","5","false","Current legacy product gallery source image. Cloudinary upload deferred; source URL preserved for fallback and traceability. Media key intentionally avoids generated Cloudinary fallback until upload is complete."
"tiger-aqua-outdoor-indoor-paddle-source-06","tiger-aqua-outdoor-indoor-paddle","","https://cdn11.bigcommerce.com/s-dh0jici9dm/images/stencil/1280x1280/products/141/790/00_Recyclable_Packaging_-_Gift__99267.1759532868.jpg?c=1","","","tiger-pingpong/products/tiger-aqua-outdoor-indoor-paddle","06-recyclable-packaging.jpg","Aqua Outdoor / Indoor Paddle","Aqua Outdoor / Indoor Paddle","","","","jpg","gallery","6","false","Current legacy product gallery source image. Cloudinary upload deferred; source URL preserved for fallback and traceability. Media key intentionally avoids generated Cloudinary fallback until upload is complete."
"tiger-aqua-outdoor-indoor-paddle-source-07","tiger-aqua-outdoor-indoor-paddle","","https://cdn11.bigcommerce.com/s-dh0jici9dm/images/stencil/1280x1280/products/141/783/2_pack_paddles_balls_only__62724.1759532868.jpg?c=1","","","tiger-pingpong/products/tiger-aqua-outdoor-indoor-paddle","07-2-pack-paddles-balls.jpg","Aqua Outdoor / Indoor Paddle","Aqua Outdoor / Indoor Paddle","","","","jpg","gallery","7","false","Current legacy product gallery source image. Cloudinary upload deferred; source URL preserved for fallback and traceability. Media key intentionally avoids generated Cloudinary fallback until upload is complete."
